top_x,top_y,top_z,top_timestamp,side_x,side_y,side_z,side_timestamp,front_side_x,front_side_y,front_side_z,front_side_timestamp,front_x,front_y,front_z,front_timestamp,fsr_bottom,fsr_outside
0.0461730957,0.0199890137,-1.0051116943,87612.3554859167,0.0053100586,-0.9980773926,-0.0335693359,7070.3861915,0.0365905762,-0.9988250732,-0.0127563477,33567.37595925,0.0301513672,-0.9969940186,-0.0160064697,14589.4093226667,0,0
0.031539917,0.0205688477,-1.0067901611,87612.39638975,0.0060882568,-0.9970703125,-0.032913208,7070.4274395,0.037979126,-0.9989624023,-0.0129394531,33567.41749325,0.029296875,-0.9973754883,-0.016494751,14589.4511006667,0,0
0.0721588135,0.0244598389,-1.0034942627,87612.43731375,0.0077362061,-0.9956359863,-0.0332946777,7070.4688365,0.036895752,-0.9995880127,-0.013092041,33567.45899725,0.0308837891,-0.996963501,-0.0160369873,14589.4929096667,0,0
0.0822296143,0.0107574463,-0.9981994629,87612.47823775,0.0058898926,-0.9980163574,-0.0366516113,7070.5102295,0.0380554199,-0.9991455078,-0.0130157471,33567.50050125,0.0291748047,-0.9969329834,-0.0160980225,14589.5346886667,0,0
0.0731048584,0.0348052979,-0.9928283691,87612.51916175,0.008605957,-0.9942932129,-0.037322998,7070.5516225,0.0370025635,-0.9985046387,-0.0132598877,33567.54200525,0.030166626,-0.9971466064,-0.0162811279,14589.5764976667,0,0
0.0517425537,0.0394592285,-1.004776001,87612.56011675,0.0117797852,-0.9962921143,-0.0276489258,7070.5930135,0.0365753174,-0.9983215332,-0.0125274658,33567.58353925,0.0296783447,-0.9968261719,-0.0148468018,14589.6182766667,0,0
0.0716247559,0.0505523682,-1.0062408447,87612.60104075,-0.0100250244,-1.0076141357,-0.05909729,7070.6342625,0.0365905762,-0.9988250732,-0.0127410889,33567.62504325,0.0298614502,-0.9968109131,-0.0152130127,14589.6600856667,0,0
0.0618591309,0.0982971191,-0.9866790771,87612.64196475,0.0147705078,-0.9833068848,-0.0211486816,7070.6756705,0.0361633301,-0.9994812012,-0.0125274658,33567.66654725,0.0298461914,-0.9969024658,-0.0159606934,14589.7018636667,0,0
0.0884857178,0.0708312988,-0.9888458252,87612.68288875,0.0194244385,-0.9992218018,-0.0090789795,7070.7170735,0.0380401611,-0.9999542236,-0.0119628906,33567.70805125,0.0310974121,-0.9966430664,-0.0152893066,14589.7436726667,0,0
0.0984802246,0.0652313232,-0.9964752197,87612.72381275,-0.0020446777,-1.0064239502,-0.0623016357,7070.7584715,0.034286499,-0.9990081787,-0.0135498047,33567.74958525,0.0298461914,-0.9976043701,-0.0161895752,14589.7854516667,0,0
